,Core absorption edge (nm),Core amount (nmol),S amount (mg),Average Length (nm),Average width (nm),Aspect Ratio
1,489,60,110,40,4.9,8.2
2,517,15,110,76,4.4,17.3
3,517,30,110,50,4.6,10.9
4,517,45,145,21,4.9,4.3
5,517,45,160,26,4.6,5.7
6,518,40,110,39,5.1,7.6
7,519,60,110,30,4.8,6.3
8,524,15,110,85,5,17
9,524,20,110,57,5.2,11
10,524,30,110,49,5.4,9.1
11,524,60,110,43,4.8,9
12,532,10,110,128,4.2,30.5
13,532,20,110,43,5,8.6
14,532,30,110,50,4.7,10.6
15,532,40,110,47,5.2,9
16,532,60,110,33,5.4,6.1
17,539,30,110,100,4.3,23.3
18,539,40,110,52,5,10.4
19,539,80,145,59,3.9,15.1
20,555,100,160,54,4.6,11.7
21,557,50,110,31,4.9,6.3
22,557,50,120,61,4.4,13.9
23,557,80,145,58,4.6,12.6
24,570,60,110,46,4,11.5
25,573,20,110,93,4.1,22.7
26,573,40,110,44,4.5,9.8
27,600,30,110,34,5.2,6.5
28,639,160,145,40,4,10
